"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Germany","DEU","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6017000000","6366000000","6798000000","7441000000","7097000000","6332000000","6146000000","7420000000","6985000000","8783000000","11407000000","12657000000","13226000000","13481000000","12747000000","14559000000","14537000000","13572000000","14203000000","15444000000","13774000000","14758000000","15739000000","16551000000","16593000000","","","",
"Djibouti","DJI","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Algeria","DZA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","293000000","173000000","115000000","150000000","115000000","104000000","91000000","78000000","76000000","58000000","36000000","37000000","30000000","28000000","28000000","7000000","","",
"East Asia & Pacific (excluding high income)","EAP","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8360933793.9436","8882838552.64818","10594696320.2505","12474680730.6315","13497091619.0056","16337984451.1758","18620758981.253","17094746948.1974","19353816531.4426","22075754397.6827","24845752197.7256","30431940546.1449","32161859984.461","28769927668.4615","28752324644.9277","33067492527.9726","37140379379.5641","39815755763.4316","","","",
"East Asia & Pacific","EAS","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5519381028.67215","6253765483.33564","8136344248.14639","10806481172.9023","9539588375.51598","11664932798.6122","15181469321.3004","17581661255.1713","22515843056.2479","22190029768.2033","17270403337.5283","16404500416.7128","19656706059.0026","23331723783.2362","22923106831.1418","","","",
"Europe & Central Asia","ECS","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34008363910.3822","30782022598.7345","31193856381.8445","31922190286.5892","35993995986.1042","43427362499.7334","50056783496.8704","55074674011.266","65121233795.862","73593088722.6391","67337652509.4417","74539556794.1076","86923828481.4836","87480269435.8063","95280529680.775","97199057345.5728","84697477225.5546","86178588811.9938","96685103018.2092","105184792535.573","104825131680.982","","","",
"Ecuador","ECU","International tourism, receipts for passenger transport items (current US$)","ST.INT.TRNR.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60000000","49000000","45000000","39000000","34000000","49000000","8000000","2000000","2000000","2000000","2000000","2000000","3000000","3000000","4000000","5000000","6000000","6000000","5000000","5000000","6000000","6000000","6000000","7000000","6000000","3000000","","",
