Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Algeria,901000,988000,1166000,1234000,1443000,1638000,1743000,1772000,1912000,2070000,2395000,2634000,2733000,2301000,1710000,2039000,2451000,2657000,2371000,591000
East Asia & Pacific (excluding high income),125452248.3,136489562.5,125706247.6,152728066.4,165948098.2,174721883.5,188386803.7,188916100.2,186368423.3,200103460.8,208057749.3,211756290.5,217301338.5,219499632.7,232372388.2,246129470.4,267094231.8,281129641,292842169.4,
Early-demographic dividend,184896885.3,190886934.7,186159242.8,208858479.3,220351005.2,222512638.3,237447686.6,253965565.9,245231108.2,260218031.2,251178036,266770386.7,276291315.7,298030473.7,305091375.5,301876958.5,326787964.8,350576700.2,369336988.9,
East Asia & Pacific,178795259.5,194873220.6,180513147.2,224750642.9,243811863.6,259502080.9,283352757.1,281400380.9,276931048.2,306945190.1,324630664.8,341731569.3,359795035.6,378067655.5,395583346.1,422310009.8,449587158.6,480202482.1,490804002.1,
Europe & Central Asia (excluding high income),63741444.7,69761846.86,73537448.52,83794261.44,92511429.35,95695880.82,113529421.7,123903647.8,115245401.6,119087288.4,132498762.1,142150827.9,151065267.8,140838191.8,142759135.2,134101499.9,149456827.8,169084765.5,180880471.5,
Europe & Central Asia,714973123.4,723771886.8,736933750.1,784677456.1,815823430.7,854328332.1,883815853.7,884795564.2,854438373.7,869779367.1,918783439.7,944560917.6,980013821.1,997036505.3,1026805426,1055431735,1112981075,1157868195,1199188499,
Ecuador,641000,683000,761000,819000,860000,841000,937000,1005000,968000,1047000,1141000,1272000,1364000,1695000,1676000,1569000,1806000,2535000,2108000,
"Egypt, Arab Rep.",4648000,5192000,6044000,8104000,8608000,9083000,11091000,12835000,12536000,14731000,9845000,11532000,9464000,9878000,9328000,5399000,8292000,11346000,13026000,
Euro area,,,,453619920.7,462527032.5,489625062.8,494727795.3,495768984,483880961.1,491730015.7,514734250.2,520092217.3,539066000,555108000,571048000,590598000,617852000,638607601.6,655573447.5,
Eritrea,113000,101000,80000,87000,83000,78000,81000,70000,79000,84000,107000,129000,141000,119000,114000,142000,,,,
Spain,75564000,79313000,82326000,85981000,92563000,96152000,98907000,97670000,91899000,93744000,99187000,98128000,103231000,107144000,109834000,115561000,121717000,124456000,126170000,36410000
Estonia,3230000,3253000,3378000,,,,,3828000,3834000,4369000,4907000,5007000,5737000,5804000,5696000,5942000,6145000,6033000,6103000,1695000
Ethiopia,148000,156000,180000,184000,227000,330000,358000,383000,427000,468000,523000,597000,681000,770000,864000,871000,933000,849000,812000,518000
European Union,616082121.2,615268114.3,625662233.1,658492799.3,678884822.4,711022667.3,723200887.8,717085325.8,695775047.7,708410742.4,743016204.7,759681881.5,784371000,809619000,835937000,870371000,910869000,938485601.6,968873375.3,
Fragile and conflict affected situations,14607271.61,16446497.16,17350162.91,19975986,20088164.79,21663574.55,25383279.85,29047239.13,31567087.21,36919296.57,30416045.12,32472105.73,33260753.94,,,,,,,
