,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
63,East Asia & Pacific,142852067.0,146849553.8,144565260.1,168503338.3,178980034.5,191973606.5,209160640.0,214079069.4,212759734.0,236680060.3,254609640.2,275983951.2,296517180.4,321003450.4,345737393.8,366330196.1,384699656.3,402010474.2,415489956.3,1386000.0,1048498.4381124352,855832.8418257766,683984.188802677,560258.619732592,449337.40028170304,365542.7564808202
64,Europe & Central Asia (excluding high income),142852067.0,146849553.8,144565260.1,76738619.4,85797832.22,91548425.84,100443508.9,104726021.9,102230776.3,110297645.2,123276429.9,132546898.1,147039143.7,136995126.8,129803442.2,133101122.5,153450258.7,165722068.0,174307497.9,1386000.0,1354013.2156998827,1287834.4273509728,1246452.2049823343,1189534.110734712,1228056.098561095,1258250.7961753698
65,Europe & Central Asia,453096545.8,457281193.3,467949386.2,477522968.1,504648379.4,516208188.5,543821360.1,562146928.2,539873168.0,554242170.5,573579334.7,585069762.8,608350743.4,587759571.4,604738772.9,626599435.2,682564892.6,729507921.2,740715759.5,1386000.0,1941597.407905517,858295.1815291549,535294.19788805,211453.558194915,479927.1381667411,243655.04179820392
66,Ecuador,562000.0,627000.0,613000.0,603000.0,664000.0,733000.0,801000.0,815000.0,814000.0,899000.0,1022000.0,1022000.0,1138000.0,1096000.0,1221000.0,1366000.0,1347000.0,1402000.0,1515000.0,1386000.0,1384441.274727602,1382406.287902433,1382406.2879024278,1380702.4654153865,1381298.1895766081,1379587.9441536635
68,Euro area,223258385.5,227220660.5,237311634.4,232662990.3,241460247.1,240206221.4,251318903.5,261350173.5,260250412.0,261465779.2,263529591.1,259790000.0,262622000.0,265842000.0,271600000.0,285847000.0,311204000.0,338485601.6,337838000.0,1386000.0,1368913.779106667,1098001.216446685,1639457.2486527122,1209560.9946412577,859369.8920199275,471144.27178982424
71,Estonia,1658000.0,1849000.0,2075000.0,232662990.3,241460247.1,438000.0,677000.0,692000.0,752000.0,955000.0,1054000.0,1147000.0,1166000.0,1426000.0,1250000.0,1339000.0,1279000.0,2069000.0,1702000.0,558000.0,549939.1255790904,547494.2117209042,545406.9309124538,545002.3026614531,540069.0245546275,543292.3560594504
73,European Union,321405897.0,316687650.4,322010732.5,319207224.2,334631056.4,338891792.0,359820729.5,376994649.5,362275414.4,364844521.7,364843479.1,365610235.1,372957185.8,360809409.4,378470722.0,397789572.1,431349338.1,461906449.3,468662306.3,558000.0,1770605.2818727402,1770783.6388369764,1644476.963892018,815570.8729583696,2620410.1519446056,486199.53812634264
75,Finland,321405897.0,316687650.4,322010732.5,319207224.2,6668000.0,6428000.0,6413000.0,6566000.0,6693000.0,7485000.0,8238000.0,9978000.0,9526000.0,9783000.0,10022000.0,10278000.0,10480000.0,10480000.0,10440000.0,2690000.0,2687471.1034056186,2685622.087691091,2681929.5679736054,2682822.3932496873,2682309.6455486724,2681844.841680524
76,Fiji,85000.0,99000.0,104000.0,94000.0,109000.0,121000.0,120000.0,124000.0,125000.0,128000.0,132000.0,132000.0,9526000.0,9783000.0,10022000.0,156000.0,169000.0,174000.0,174000.0,2690000.0,3423723.0102818906,4325352.257234843,4325352.257234843,5.6671695633149624e+20,6.937388452415008e+20,8.33350906442957e+20
77,France,85000.0,99000.0,104000.0,94000.0,109000.0,27107000.0,33144000.0,30960000.0,30646000.0,29973000.0,31153000.0,29642000.0,30457000.0,31941000.0,30608000.0,29636000.0,44265000.0,48069000.0,49276000.0,21287000.0,21273794.18136264,21289533.95877671,21269269.805135764,21280322.42974945,21299722.542736605,21282338.321837366
81,United Kingdom,58281000.0,59377000.0,61424000.0,64194000.0,66494000.0,69536000.0,69450000.0,69011000.0,63513000.0,64647000.0,67493000.0,66858000.0,68959000.0,72204000.0,77619000.0,81757000.0,87242000.0,90571000.0,93086000.0,23827000.0,19971599.404661004,22437209.512410108,21871373.068297103,23778519.6734842,26924349.922910772,32734626.542938657
82,Georgia,306000.0,317000.0,61424000.0,466000.0,857000.0,1346000.0,1473000.0,1872000.0,1980000.0,2086000.0,2237000.0,2734000.0,3220000.0,3106000.0,3136000.0,3400000.0,3851000.0,3698000.0,3780000.0,23827000.0,23834692.268783573,23839660.21072587,23853927.756125446,23865569.389078822,23863004.17024416,23863688.21647484
92,Guatemala,580000.0,629000.0,658000.0,854000.0,982000.0,1055000.0,1168000.0,1277000.0,651000.0,694000.0,718000.0,721000.0,846000.0,992000.0,1130000.0,1195000.0,1328000.0,1538000.0,1703000.0,507799.9878,619450.7978958922,612624.8388297909,611792.8777537448,580729.7277169984,551365.3271086226,528449.0866293387
95,High income,639396289.9,638005764.7,627229194.3,655857600.3,683101339.8,780689372.2,806033509.5,816213734.5,783266709.2,811128570.1,819893615.5,838746662.1,857227623.5,850607288.0,889669300.9,928589865.8,982228992.4,1016965040.0,1037956546.0,507799.9878,519962.6717557013,499222.09593916376,458037.12359614274,421747.5586454641,434314.79695723107,366398.93850590254
96,"Hong Kong SAR, China",61096000.0,64540000.0,60936000.0,68903000.0,72300000.0,75812000.0,80682000.0,81911000.0,81958000.0,84442000.0,84816000.0,85276000.0,84414000.0,84519000.0,89082000.0,91758000.0,91304000.0,92214000.0,94715000.0,8261000.0,7979267.31311174,7939160.793212285,7890347.997949864,7982285.243922979,7970979.036177018,7507127.839148364
101,Hungary,11167000.0,12966000.0,14283000.0,17558000.0,17759000.0,16597000.0,17056000.0,17162000.0,16640000.0,16082000.0,16634000.0,16143000.0,16038000.0,16340000.0,17276000.0,18895000.0,20297000.0,22805000.0,24860000.0,12727000.0,12543723.097589057,12638553.452673808,12554325.681213971,12536055.921296477,12588355.613855448,12745818.274381844
102,IBRD only,320107966.7,316976995.4,319711392.9,343892395.1,363007459.7,373979327.9,384376425.2,399957489.9,375531747.2,400055012.1,429376700.0,463213880.3,509920169.7,505478327.8,534814850.5,561469376.8,600371930.0,606878384.5,624278730.5,12727000.0,12688147.135027163,5225904.524531241,2018505.3327810941,605091.8750922036,675261.2794863373,332821.66233054694
103,IDA & IBRD total,410559346.0,406836756.1,411858892.5,443665411.8,469153653.7,483202009.3,498467960.6,517364292.9,488378973.4,519544732.2,560021930.8,604687544.2,667710870.0,662446774.0,700888228.5,732541192.5,783131240.4,799318916.1,819595044.7,12727000.0,12098574.48864341,4902647.457700984,1946122.759696046,589846.1918419276,648824.6830427066,328974.86251044914
106,Indonesia,2505000.0,3231000.0,3478000.0,3941000.0,4106000.0,4967000.0,5158000.0,5486000.0,5053000.0,6235000.0,6750000.0,7454000.0,8025000.0,8074000.0,8176000.0,8340000.0,8856000.0,9468000.0,11689000.0,2918000.0,2756253.567040648,2660485.634991558,2545437.5668960675,2463081.6495173695,2456409.7000295436,2442707.084765317
109,India,4564000.0,4940000.0,5351000.0,6213000.0,7185000.0,8340000.0,9783000.0,10868000.0,11067000.0,12988000.0,13994000.0,14920000.0,16626000.0,18330000.0,20376000.0,21872000.0,23943000.0,26296000.0,26915000.0,2918000.0,2220352.0176959983,1980362.3983693784,1795058.3626984667,1520498.6922011697,1309225.3839719119,1113143.0201657256
111,Ireland,4216000.0,4634000.0,4929000.0,5409000.0,6113000.0,6848000.0,7713000.0,7877000.0,7047000.0,6917000.0,6514000.0,6600000.0,6579000.0,6676000.0,7094000.0,7646000.0,8171000.0,8643000.0,9350000.0,2326000.0,2294589.465693688,2280225.0667603053,2283355.925720898,2282594.799414787,2286092.4740971765,2300662.7645337684
114,Iceland,4216000.0,4634000.0,4929000.0,5409000.0,364000.0,440000.0,460000.0,414000.0,259000.0,299000.0,341000.0,358000.0,365000.0,400000.0,450000.0,536000.0,619000.0,668000.0,611000.0,130000.0,131056.07491598064,130628.49479520111,130470.58519780119,130407.7855479302,130111.23754396065,129730.77872208405
115,Israel,3561000.0,3273000.0,3299000.0,3614000.0,3687000.0,3713000.0,4147000.0,4207000.0,4007000.0,4269000.0,4387000.0,4349000.0,4757000.0,5181000.0,5891000.0,6781000.0,7597000.0,8473000.0,9179000.0,130000.0,127173.81668327085,122069.50663329486,123675.46671237904,108087.35305122694,95074.84193945867,78391.53784760521
116,Italy,43611000.0,44660000.0,46357000.0,40400000.0,43407000.0,46369000.0,49166000.0,54421000.0,54839000.0,55304000.0,52617000.0,53338000.0,52633000.0,55169000.0,57418000.0,57480000.0,60042000.0,61194601.56,62207000.0,21448000.0,20677350.260191515,23156452.536511377,22450917.767907813,23140451.533405356,20792564.826572392,18986980.377890628
118,Jordan,1755000.0,1276000.0,1229000.0,1420000.0,1523000.0,2139000.0,2094000.0,1972000.0,2054000.0,2708000.0,1931000.0,1567000.0,1498000.0,1230000.0,57418000.0,1511000.0,1592000.0,1501000.0,1537000.0,406000.0,202640.93567265302,425126.8700079232,671855.294877004,741526.1662775347,1142075.7634125175,251.49061504656396
119,Japan,16216000.0,16523000.0,13296000.0,16831000.0,17404000.0,17535000.0,17295000.0,15987000.0,15446000.0,16637000.0,16994000.0,18491000.0,17473000.0,16903000.0,16214000.0,17116000.0,17889000.0,18954000.0,20081000.0,3174000.0,3371136.8691534624,3481110.1901629996,3955071.116061422,3630531.5952539495,3452964.3534128075,3242388.772397148
120,Kazakhstan,16216000.0,16523000.0,13296000.0,16831000.0,17404000.0,3688000.0,4544000.0,4330000.0,5423000.0,6019000.0,8020000.0,9066000.0,10144000.0,10450000.0,11303000.0,9756000.0,10261000.0,10646000.0,10707000.0,2865000.0,2849595.8069281797,2836239.278177862,2830553.446677543,2825352.6240729466,2823978.481536033,2820353.655231626
123,Cambodia,37000.0,45000.0,60000.0,239000.0,568000.0,787000.0,996000.0,786000.0,340000.0,505000.0,710000.0,792000.0,872000.0,956000.0,1194000.0,1434000.0,1752000.0,1995000.0,2038000.0,326000.0,281704.0923715124,315237.9911801705,326819.40388101543,337367.7509136719,347767.20816119196,374248.0830459739
126,"Korea, Rep.",6084000.0,7123000.0,7086000.0,8826000.0,10080000.0,11610000.0,13325000.0,11996000.0,9494000.0,12488000.0,12694000.0,13737000.0,14846000.0,16081000.0,19310000.0,22383000.0,26496000.0,28696000.0,28714000.0,4276000.0,4629242.640593287,4781253.827756836,5588085.073616317,6513989.596618155,7627431.199622337,10947396.82370234
128,Latin America & Caribbean (excluding high income),143515183.6,144402340.5,143844760.8,151105183.5,152058277.4,146278940.6,134739323.4,133965255.3,123534765.6,119555534.8,119714980.5,121265205.0,127945469.0,130017235.5,138914310.3,147427686.5,149322519.6,138523410.9,132353711.0,4276000.0,3141208.863747523,3152575.281131793,3264440.9773580767,3775061.3080728985,3943027.926142148,4717752.205656441
134,Latin America & Caribbean,147966602.3,148796394.3,148266969.7,155920936.3,157601258.8,152165563.9,141098688.9,140636724.3,129886598.0,126208450.3,127572515.4,129608833.0,137178744.1,139146199.5,148044581.0,156262752.7,157876705.2,147336636.6,140808231.3,4276000.0,3415844.2605722635,3492890.0211336603,3609563.5908090416,4060733.762660516,4182505.495012229,4756571.967474775
138,Sri Lanka,505000.0,533000.0,561000.0,680000.0,727000.0,757000.0,862000.0,966000.0,963000.0,1122000.0,1239000.0,1269000.0,1262000.0,1311000.0,1356000.0,1448000.0,1439000.0,1476000.0,1441000.0,305000.0,223514.06278921984,181911.09836477137,173095.32242759666,175094.80616539705,161779.54689471374,150831.0148533618
140,Low & middle income,333619759.7,340879864.2,354603785.0,388092539.3,407499032.4,415532558.1,425958912.2,440703404.6,426014867.5,451766534.8,489755957.1,527665336.7,583907367.5,603896267.7,629577760.3,664533519.8,713073639.6,725777306.2,743168143.2,305000.0,198800.40617608442,49326.08164612387,13618.17469124739,2370.2635328759548,1325.679478284705,645.9532155841154
142,Late-demographic dividend,141458819.9,134483833.4,136994938.5,148763315.0,165706335.4,181187456.5,206388068.2,223951463.1,207135764.3,229873413.1,258667721.0,287320326.0,319353415.5,315858060.9,329660116.7,340219982.9,371666562.7,393163875.6,409178637.3,305000.0,230900.19650346148,65592.3861656988,21395.116308044922,6930.717421000873,7793.780850224348,4939.341037647098
143,Lithuania,141458819.9,134483833.4,136994938.5,148763315.0,165706335.4,4362000.0,3627000.0,3847000.0,3639000.0,4311000.0,4020000.0,4108000.0,4228000.0,4292000.0,3981000.0,4143000.0,4294000.0,4702000.0,4881000.0,1643000.0,1637431.5750226653,1640846.7802327352,1639787.8377867104,1638380.8725171417,1637647.2127255653,1641323.7418979644
144,Luxembourg,923000.0,1049000.0,1021000.0,1100000.0,1185000.0,1084000.0,1132000.0,1190000.0,1362000.0,1237000.0,1643000.0,1580000.0,1624000.0,1815000.0,1702000.0,1588000.0,2346000.0,2510000.0,2548000.0,1460000.0,1469317.624118706,1539430.9607753144,1529577.4735011216,1536493.0227248326,1564809.432826161,1548376.5250109388
145,Latvia,2697000.0,2306000.0,2286000.0,2457000.0,2959000.0,3151000.0,3398000.0,3782000.0,3268000.0,3332000.0,3257000.0,1830000.0,1776000.0,1846000.0,1720000.0,1939000.0,2055000.0,2175000.0,2384000.0,690000.0,810052.5549935896,833744.1555327859,1730043.276343088,1796918.4702974122,1711078.0223944965,1871317.5070132904
