Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,
Africa Western and Central,,,,,,,,,,,,,,,,,,,,
Estonia,1658000,1849000,2075000,,,438000,677000,692000,752000,955000,1054000,1147000,1166000,1426000,1250000,1339000,1279000,2069000,1702000,558000
Ethiopia,,,,,,,,,,,,,,,,,,,,
European Union,321405897,316687650.4,322010732.5,319207224.2,334631056.4,338891792,359820729.5,376994649.5,362275414.4,364844521.7,364843479.1,365610235.1,372957185.8,360809409.4,378470722,397789572.1,431349338.1,461906449.3,468662306.3,
Fragile and conflict affected situations,,,,,,,,,,,,,,,,,,,,
Finland,,,,,6668000,6428000,6413000,6566000,6693000,7485000,8238000,9978000,9526000,9783000,10022000,10278000,10480000,10480000,10440000,2690000
Fiji,85000,99000,104000,94000,109000,121000,120000,124000,125000,128000,132000,132000,,,,156000,169000,174000,174000,
France,,,,,,27107000,33144000,30960000,30646000,29973000,31153000,29642000,30457000,31941000,30608000,29636000,44265000,48069000,49276000,21287000
Faroe Islands,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,,,,,,,,,,,,
Gabon,189000,219000,236000,,,,,,,,,,,,,,,,,
United Kingdom,58281000,59377000,61424000,64194000,66494000,69536000,69450000,69011000,63513000,64647000,67493000,66858000,68959000,72204000,77619000,81757000,87242000,90571000,93086000,23827000
Georgia,306000,317000,,466000,857000,1346000,1473000,1872000,1980000,2086000,2237000,2734000,3220000,3106000,3136000,3400000,3851000,3698000,3780000,
Ghana,,,,,,,,,,,,,,,,,,,,
Gibraltar,,,,,,,,,,,,,,,,,,,,
Guinea,,,,,,,,,,,,,,,,,,,,
"Gambia, The",,,,,387000,307000,,,,,,,,,,,,,,
Guinea-Bissau,,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,3765000,3835000,3799000,4941000,4681000,4594000,5802000,6291000,7235000,7685000,7961000,7848000,2324000
Grenada,,,,,,,,,,,,,,,,,,,,
Greenland,,,,,,,,,,,,,,,,,,,,
Guatemala,580000,629000,658000,854000,982000,1055000,1168000,1277000,651000,694000,718000,721000,846000,992000,1130000,1195000,1328000,1538000,1703000,507799.9878
Guam,,,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,,,,,,,,,,
High income,639396289.9,638005764.7,627229194.3,655857600.3,683101339.8,780689372.2,806033509.5,816213734.5,783266709.2,811128570.1,819893615.5,838746662.1,857227623.5,850607288,889669300.9,928589865.8,982228992.4,1016965040,1037956546,
"Hong Kong SAR, China",61096000,64540000,60936000,68903000,72300000,75812000,80682000,81911000,81958000,84442000,84816000,85276000,84414000,84519000,89082000,91758000,91304000,92214000,94715000,8261000
Honduras,,,,,,,,,,1090000,1092000,1072000,1055000,1065000,1150000,1121000,727000,703000,,
Heavily indebted poor countries (HIPC),,,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,4393000,4823000,,5526000,5159000,5444000,4638000,4355000,2581000,2597000,2980000,3500000,678000
Haiti,,,,,,,,,,,,,,,,,,,,
