Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Dominican Republic,134000000,134000000,136000000,138000000,159000000,162000000,205000000,205000000,164000000,267000000,293000000,291000000,297000000,310000000,340000000,379000000,410000000,457000000,436000000,230000000
Algeria,,,,,290000000,65000000,126000000,145000000,118000000,115000000,68000000,69000000,60000000,71000000,77000000,82000000,52000000,44000000,32000000,38000000
East Asia & Pacific (excluding high income),,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,12117051682,11138667685,10570368313,11933045882,15135466382,16336629179,19262272817,23378873051,19699819270,22606050290,25127345387,26678269269,29173637333,28986799202,28731492490,29934825116,33720269931,35482399897,36094582024,
East Asia & Pacific,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),1471591831,1643167560,2091904082,2836278784,3318010638,4159510814,5093642971,6862358441,5696809290,6494233801,7599546757,8819456310,9368538317,8273575329,6349606100,7384183748,8920313270,9724420726,9842397099,
Europe & Central Asia,27968592620,31254654071,35431025578,38979753166,44302503550,47510137171,55632440606,63824146965,54269909869,59923850521,67431256587,66996265800,67434193513,64990655018,55263842568,55891437346,61677046616,66378760224,64909883423,
Ecuador,125000000,143000000,146000000,186000000,215000000,240000000,229000000,248000000,257000000,295000000,323000000,333000000,366000000,355000000,355000000,373000000,399000000,389000000,434000000,125000000
"Egypt, Arab Rep.",116000000,43000000,144000000,286000000,303000000,372000000,440000000,475000000,403000000,456000000,372000000,419000000,247000000,346000000,194000000,241000000,259000000,230000000,200000000,69000000
Euro area,,,,,,,,,37327286540,40855254690,45905091453,43400588178,42813083293,41266334985,36513874990,35959985011,39267314476,42241335987,40819052486,
Eritrea,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,
Estonia,61000000,74000000,85000000,87000000,91000000,120000000,134000000,130000000,,,,,177000000,165000000,143000000,137000000,148000000,184000000,263000000,82000000
Ethiopia,6000000,10000000,13000000,1000000,,,,,1000000,,,,,,,,7500000,699999.9881,,500000
European Union,,,,,,,,,40177802193,43924742220,49103928243,46428152674,45598857078,44854643793,39860864791,39383672398,43319081790,46967957308,46083510409,
Fragile and conflict affected situations,,,,,2874248713,3111185349,4340437080,4827186340,5217263153,6291735948,7147946037,8276450643,8846369538,8450573981,8599864332,7749799752,5856845465,8216906279,6693435799,
Finland,590000000,432000000,521000000,562000000,564000000,675000000,829000000,1033000000,832000000,963000000,1131000000,954000000,1090000000,1021000000,990000000,1008000000,1130000000,1151000000,1163000000,294000000
Fiji,19000000,24000000,18000000,24000000,26000000,12000000,14000000,15000000,13000000,14000000,18000000,19000000,14000000,10000000,11000000,10000000,10000000,11000000,9000000,2000000
France,6170000000,6491000000,7732000000,6893000000,7286000000,6972000000,8144000000,9445000000,8096000000,8398000000,10784000000,10232000000,10261000000,9687000000,8192000000,8593000000,9595000000,9667000000,9244000000,3435000000
Faroe Islands,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",,,,,,,,,16000000,16000000,15000000,17000000,17000000,17000000,,,,,,
Gabon,31000000,40000000,45000000,61000000,72000000,,99000000,109000000,116000000,184000000,115000000,127000000,126000000,112000000,114000000,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,
Georgia,29000000,40000000,40000000,49000000,68000000,90000000,101000000,134000000,130000000,130000000,171000000,215000000,243000000,264000000,279000000,320000000,389000000,435000000,467000000,112000000
Ghana,60000000,65000000,78000000,84000000,169000000,230000000,258000000,328000000,264000000,308000000,562000000,512000000,509000000,489000000,668000000,779000000,888000000,879000000,1052000000,841000000
Gibraltar,,,,,,,,,,,,,,,,,,,,
Guinea,8000000,7000000,10000000,4000000,9000000,13000000,67000000,21000000,15000000,8500000,16100000.38,18299999.24,10500000,10600000.38,7599999.905,4400000.095,90900001.53,402500000,416600006.1,1070900024
"Gambia, The",,,4000000,2000000,2000000,2000000,,,,,,,400000.006,1399999.976,1399999.976,1200000.048,1500000,1399999.976,699999.9881,200000.003
Guinea-Bissau,2700000.048,5099999.905,8000000,9199999.809,9100000.381,2299999.952,500000,500000,300000.0119,100000.0015,7099999.905,4699999.809,,,,,,100000.0015,1799999.952,
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,
Greece,12000000,17000000,8000000,8000000,6000000,7000000,7000000,16000000,739000000,547000000,648000000,641000000,1333000000,1248000000,1276000000,1192000000,1150000000,1328000000,1141000000,602000000
Grenada,,,,,,,,,,,,,,16000000,20000000,19000000,16000000,18000000,24000000,7000000
Greenland,,,,,,,,,,,,,,,,,,,,
Guatemala,41000000,53000000,61000000,103000000,111000000,126000000,140000000,134000000,147000000,222000000,227000000,214000000,227000000,247000000,266000000,278000000,291000000,298000000,314000000,90000000
Guam,,,,,,,,,,,,,,,,,,,,
Guyana,7000000,6000000,4000000,,,,,,,,,,,,,,,,,
High income,80968364725,81670574447,85469103791,98180361811,1.08838E+11,1.17559E+11,1.32608E+11,1.45492E+11,1.26291E+11,1.46871E+11,1.65275E+11,1.69653E+11,1.56409E+11,1.56097E+11,1.41789E+11,1.39182E+11,1.46325E+11,1.65354E+11,1.66437E+11,
"Hong Kong SAR, China",,,,,,,,,,,,,,,,,,,,
Honduras,77000000,72000000,57000000,56000000,59000000,70000000,97000000,94000000,65000000,85000000,92000000,95000000,102000000,99000000,96000000,112000000,116000000,150000000,156000000,67000000
Heavily indebted poor countries (HIPC),1167518867,1167780554,1474740014,1496852609,1831451256,2153371570,2539568317,3096628303,3009067584,2744937458,3317779362,3676820479,3664027268,3856309342,4085084420,4073568028,4686659333,5242305594,5466702746,
Croatia,71000000,71000000,37000000,33000000,32000000,33000000,40000000,44000000,28000000,29000000,37000000,36000000,20000000,19000000,15000000,9000000,41000000,48000000,47000000,14000000
Haiti,150000000,154000000,160000000,134000000,119000000,183000000,275000000,319000000,364000000,368000000,396000000,409000000,356000000,404000000,432000000,441000000,423000000,496000000,337000000,
Hungary,79000000,78000000,106000000,61000000,444000000,440000000,542000000,632000000,501000000,493000000,563000000,571000000,620000000,676000000,626000000,572000000,580000000,600000000,611000000,175000000
IBRD only,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,,,,,,,,,,,,,,,,,,,,
IDA total,,,,,3459272680,4013761201,5757458871,7124181301,6385070919,8403698546,9418291262,9895114623,10796377193,10855274490,11605353909,11203436374,10653677127,12909646555,12373757436,
IDA blend,,,,,1184332070,1200638663,2296633904,2841340235,2466379598,4353086147,4940143566,4959835220,5396743781,5907496043,5973784036,6201859673,5082630575,6530976050,5973353700,
Indonesia,,1753000000,1345000000,1062000000,1156000000,1428000000,1674000000,3247000000,1592000000,2037000000,2398000000,2284000000,2605000000,2581000000,2508000000,2366000000,2656000000,2857000000,3141000000,327000000
IDA only,1619108694,1648503769,1852942271,1994290157,2227725279,2754114064,3389459543,4194541263,3840600776,3898209145,4305329163,4767387382,5217293066,4734665359,5435510885,4769583067,5398646390,6148427536,6210425438,
Isle of Man,,,,,,,,,,,,,,,,,,,,
