Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Kazakhstan,8.55,6.04,6.44,6.89,7.46,8.61,10.78,17.17,7.31,7.08,8.36,5.17,5.8,6.6,6.72,14.59,7.43,6.02,5.24,6.75,8,14.99
Kenya,5.78,1.99,9.82,11.81,9.91,6.03,4.25,15.1,10.52,4.08,14.03,9.37,5.73,6.88,6.59,6.33,7.99,4.69,5.2,5.4,6.11,7.66
Kyrgyz Republic,6.92,2.13,2.97,4.1,4.37,5.52,10.3,24.5,6.79,7.97,16.64,2.78,6.62,7.53,6.48,0.39,3.18,1.54,1.14,6.33,11.91,13.92
Cambodia,-0.12,-0.04,1.03,3.92,6.35,6.14,7.67,25,-0.66,4,5.26,3.15,2.94,3.86,1.22,3.02,2.91,2.39,2.01,2.94,2.92,6.07
Kiribati,6,3.18,1.63,-0.74,-0.35,-1,3.59,13.66,9.82,-3.9,1.5,-3.05,-1.49,2.1,0.57,1.92,0.36,0.59,-1.88,2.48,3,5.6
St. Kitts and Nevis,2.14,2.08,2.27,2.25,3.37,8.49,4.48,5.3,2.06,0.85,5.84,0.82,1.11,0.25,-2.3,-0.34,0,-0.23,-0.18,-0.59,0.2,3.78
"Korea, Rep.",4.07,2.76,3.51,3.59,2.75,2.24,2.53,4.67,2.76,2.94,4.03,2.19,1.3,1.27,0.71,0.97,1.94,1.48,0.38,0.54,2.5,5.09
Kuwait,1.45,0.8,0.99,1.26,4.12,3.09,5.47,6.3,4.61,4.5,4.91,3.2,2.7,2.88,3.27,2.96,1.51,0.57,1.1,1,3.42,3.98
Lao PDR,7.74,10.61,15.5,10.49,7.17,6.56,4.66,7.62,0.15,5.98,7.57,4.25,6.36,4.12,1.28,1.6,0.66,2.03,3.32,5.13,3.76,22.96
Lebanon,-0.37,1.76,1.27,1.67,-0.72,5.57,4.06,10.76,1.22,3.97,4.99,6.55,5.57,1.12,-3.75,-0.82,4.48,6.07,2.89,84.86,154.76,171.2
Liberia,12.15,14.16,10.33,3.56,6.95,9.51,11.39,17.49,7.43,7.29,8.49,6.83,7.58,9.86,7.74,8.84,12.44,23.56,26.97,11.89,7.82,6.91
Libya,-8.84,-9.86,-2.06,1.25,2.66,1.47,6.21,10.4,2.45,2.46,15.9,6.07,2.59,2.43,9.84,25.88,28.47,-1.2,4.56,22.26,2.77,5.52
St. Lucia,5.27,-0.26,1.03,1.46,3.91,3.56,2.82,5.55,-0.16,3.25,2.77,4.18,1.47,3.52,-0.99,-3.09,0.11,1.99,0.54,0.34,2.38,6.4
Sri Lanka,14.16,9.55,8.97,9.01,10.98,10.02,15.84,9.64,3.43,6.25,6.72,7.54,6.9,2.84,3.75,3.97,6.58,2.14,4.3,6.15,7.01,50.43
Lesotho,7.97,12.21,6.34,4.64,3.64,6.34,9.18,10.69,5.83,3.31,6.01,5.47,5,4.57,4.3,6.21,4.46,4.01,5.19,4.98,6.05,8.31
Lithuania,1.37,0.28,-1.13,1.16,2.66,3.74,5.74,10.93,4.45,1.32,4.13,3.09,1.05,0.1,-0.88,0.91,3.72,2.7,2.24,1.2,4.68,19.7
