,Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
73,European Union,616082121.2,615268114.3,625662233.1,658492799.3,678884822.4,711022667.3,723200887.8,717085325.8,695775047.7,708410742.4,743016204.7,759681881.5,784371000.0,809619000.0,835937000.0,870371000.0,910869000.0,938485601.6,968873375.3,518000.0,452883.62661894766,766684.7650652182,979378.3929500737,1394006.1118363729,1977594.8393879707,2815047.0779406824
75,Finland,2826000.0,2875000.0,2601000.0,2840000.0,3140000.0,3375000.0,3519000.0,3583000.0,3423000.0,3670000.0,4192000.0,4226000.0,2797000.0,2731000.0,2622000.0,2789000.0,3180000.0,3224000.0,3290000.0,896000.0,896404.7709049952,898651.7838063469,898788.4551974663,891832.3576258308,891431.5251115238,890748.2563296076
76,Fiji,446000.0,461000.0,451000.0,513000.0,547000.0,3375000.0,542000.0,627000.0,605000.0,692000.0,734000.0,741000.0,769000.0,781000.0,869000.0,963000.0,1027000.0,1058000.0,969000.0,168000.0,167938.3589570767,167901.5479595631,167895.61903120842,167872.45254546715,167862.78213204513,167796.11695046586
77,France,446000.0,461000.0,451000.0,190282000.0,185829000.0,193882000.0,193319000.0,193571000.0,192369000.0,189826000.0,196595000.0,197522000.0,204410000.0,206599000.0,203302000.0,203042000.0,207274000.0,211998000.0,217877000.0,117109000.0,117109466.5007876,117108629.85237494,117108517.52428438,117107699.03243431,117107444.68472451,117107828.81529514
79,"Micronesia, Fed. Sts.",15300.00019,19100.00038,18200.00076,19299.99924,19000.0,19100.00038,21100.00038,25700.00076,47500.0,44700.00076,35400.00153,38299.99924,42099.99847,35400.00153,31200.00076,29600.00038,207274000.0,19200.00076,18000.0,117109000.0,345635777956.12946,11917836611.118334,37139933195.97868,145518113983.8079,11917836611.118462,1924888886.2476025
81,United Kingdom,22835000.0,24180000.0,24715000.0,27755000.0,29970000.0,32713000.0,32778000.0,31888000.0,31072000.0,30398000.0,31886000.0,32221000.0,33567000.0,35337000.0,36792000.0,39129000.0,41080000.0,40283000.0,40857000.0,11101000.0,10307379.518777581,11099920.80475163,11281207.206189802,12020032.677799748,13016632.438858476,13856754.345002653
82,Georgia,302000.0,298000.0,313000.0,368000.0,560000.0,983000.0,1052000.0,1290000.0,1500000.0,2032000.0,2712000.0,4106000.0,4954000.0,5004000.0,5256000.0,5393000.0,6483000.0,7203000.0,7726000.0,1513000.0,1305038.0733283076,1188028.9333700114,1038030.1704620234,976509.4921328708,973323.5476873205,957885.2242400639
83,Ghana,439000.0,483000.0,531000.0,584000.0,429000.0,497000.0,587000.0,698000.0,803000.0,931000.0,821000.0,903000.0,994000.0,825000.0,897000.0,5393000.0,6483000.0,7203000.0,7726000.0,1513000.0,1219046.6389712489,1339597.4224102956,1247287.437309303,1160628.6003978204,1334723.309030657,1253539.375386699
85,Guinea,38000.0,43000.0,44000.0,45000.0,45000.0,46099.99847,30000.0,24000.0,803000.0,12399.99962,131000.0,96000.0,56000.0,33000.0,35000.0,63000.0,99000.0,7203000.0,7726000.0,1513000.0,547955.9537244344,20580947.015984792,12759396.052203417,5569307.97644407,2469185.6462790365,2703067.739412779
86,"Gambia, The",57000.0,81000.0,89000.0,90000.0,108000.0,125000.0,143000.0,147000.0,142000.0,91000.0,106000.0,157000.0,171000.0,156000.0,449000.0,450000.0,522000.0,552000.0,620000.0,246000.0,198242.0148123301,212334.00986159555,253395.69959559827,263326.980304588,252668.01175608413,406619.8915144888
87,Guinea-Bissau,7800.000191,81000.0,89000.0,90000.0,5000.0,11600.00038,15600.00038,18000.0,16000.0,22299.99924,36700.00076,35400.00153,35500.0,36099.99847,43799.99924,45200.00076,49500.0,55000.0,52400.00153,246000.0,246326.4507650171,247087.33922263404,247032.17826140768,247036.49225650143,247062.12563599608,247358.01881324797
90,Grenada,277000.0,271000.0,294000.0,370000.0,380000.0,342000.0,406000.0,428000.0,460000.0,445000.0,447000.0,370000.0,327000.0,387000.0,437000.0,474000.0,468000.0,529000.0,526000.0,217000.0,214089.81846572642,213757.29391081518,228234.60072116982,238220.8102052553,224708.21350254503,215440.31929851745
92,Guatemala,835000.0,884000.0,880000.0,1182000.0,1316000.0,1502000.0,1628000.0,1715000.0,1311000.0,1384000.0,1434000.0,1491000.0,1516000.0,1739000.0,1865000.0,1906000.0,2120000.0,2406000.0,2560000.0,594000.0,623420.1290107993,618452.2412768981,613041.5106204749,610747.7650111635,592141.9613766959,582877.4743143866
93,Guam,1159000.0,1059000.0,910000.0,1160000.0,1228000.0,1212000.0,1225000.0,1142000.0,1053000.0,1197000.0,1160000.0,1308000.0,1334000.0,1343000.0,1409000.0,1536000.0,1545000.0,1549000.0,1667000.0,328000.0,348708.13622824766,334744.81566098426,391371.9187850742,401527.66164119134,405057.1009329521,431155.70215314935
94,Guyana,99000.0,104000.0,101000.0,122000.0,117000.0,113000.0,134000.0,130000.0,141000.0,152000.0,157000.0,177000.0,200000.0,206000.0,207000.0,235000.0,247000.0,287000.0,315000.0,86400.00153,101272.97416942823,104658.16432982303,118215.5672735638,133836.62441752505,137916.52450696717,138596.69306823396
95,High income,884986860.0,879165850.6,871624379.2,939596423.2,969910115.6,1128257223.0,1143132373.0,1134881111.0,1087553476.0,1124271992.0,1153167525.0,1215900943.0,1266070915.0,1315757995.0,1349915164.0,1403510282.0,1453128423.0,1491870217.0,1522430053.0,86400.00153,84289.39612324705,90114.27656739397,103603.093250904,115242.18684605329,127536.20424974893,136440.1980342841
96,"Hong Kong SAR, China",13725000.0,16566000.0,15537000.0,21811000.0,23359000.0,25251000.0,28169000.0,29507000.0,29591000.0,36030000.0,41921000.0,48615000.0,54299000.0,60839000.0,59308000.0,56655000.0,58472000.0,65148000.0,55913000.0,3569000.0,3100905.8741694246,2787361.0957849566,2511328.899304862,2323271.6481975224,2144533.978432909,2183355.915663852
